feature
bw_in_mbps
bw_out_mbps
bw_avg_mbps
util_in_pct
util_out_pct
pkt_in
pkt_out
pkt_dropped
pkt_loss_pct
bytes_in
bytes_out
payload_bytes
total_bytes
jitter_ms
iat_mean_ms
rtt_avg_ms
rtt_std_ms
ospf_pkts
arp_pkts
icmp_pkts
udp_pkts
tcp_pkts
udp_fraction
tcp_fraction
proto_overhead_pct
ospf_overhead_pct
tcp_ctrl_pct
tcp_syn
tcp_fin
tcp_rst
tcp_retransmit_pct
syn_rate_pps
rst_rate_pps
fin_rate_pps
active_flows
new_flows
finished_flows
flow_churn_per_sec
peak_kbps_1s_window
pkt_asymmetry
bw_asymmetry
flow_density
ctrl_to_data_ratio
bytes_per_pkt_out
syn_rst_ratio_router
is_portscan
node_id_enc
bw_avg_mbps_lag1
bw_avg_mbps_lag3
bw_avg_mbps_lag5
bw_avg_mbps_lag10
pkt_loss_pct_lag1
pkt_loss_pct_lag3
pkt_loss_pct_lag5
pkt_loss_pct_lag10
jitter_ms_lag1
jitter_ms_lag3
jitter_ms_lag5
jitter_ms_lag10
tcp_retransmit_pct_lag1
tcp_retransmit_pct_lag3
tcp_retransmit_pct_lag5
tcp_retransmit_pct_lag10
syn_rate_pps_lag1
syn_rate_pps_lag3
syn_rate_pps_lag5
syn_rate_pps_lag10
bw_avg_mbps_roll_mean_5
bw_avg_mbps_roll_std_5
bw_avg_mbps_roll_mean_10
bw_avg_mbps_roll_std_10
bw_avg_mbps_roll_mean_30
bw_avg_mbps_roll_std_30
pkt_loss_pct_roll_mean_5
pkt_loss_pct_roll_std_5
pkt_loss_pct_roll_mean_10
pkt_loss_pct_roll_std_10
pkt_loss_pct_roll_mean_30
pkt_loss_pct_roll_std_30
jitter_ms_roll_mean_5
jitter_ms_roll_std_5
jitter_ms_roll_mean_10
jitter_ms_roll_std_10
jitter_ms_roll_mean_30
jitter_ms_roll_std_30
tcp_retransmit_pct_roll_mean_5
tcp_retransmit_pct_roll_std_5
tcp_retransmit_pct_roll_mean_10
tcp_retransmit_pct_roll_std_10
tcp_retransmit_pct_roll_mean_30
tcp_retransmit_pct_roll_std_30
flow_churn_per_sec_roll_mean_5
flow_churn_per_sec_roll_std_5
flow_churn_per_sec_roll_mean_10
flow_churn_per_sec_roll_std_10
flow_churn_per_sec_roll_mean_30
flow_churn_per_sec_roll_std_30
peak_kbps_1s_window_roll_mean_5
peak_kbps_1s_window_roll_std_5
peak_kbps_1s_window_roll_mean_10
peak_kbps_1s_window_roll_std_10
peak_kbps_1s_window_roll_mean_30
peak_kbps_1s_window_roll_std_30
bw_avg_mbps_roll_max_5
bw_avg_mbps_roll_max_10
syn_rate_pps_roll_max_5
syn_rate_pps_roll_max_10
pkt_dropped_roll_max_5
pkt_dropped_roll_max_10
bw_avg_mbps_delta1
bw_avg_mbps_delta5
bw_avg_mbps_pct_chg
pkt_loss_pct_delta1
pkt_loss_pct_delta5
pkt_loss_pct_pct_chg
jitter_ms_delta1
jitter_ms_delta5
jitter_ms_pct_chg
util_in_pct_delta1
util_in_pct_delta5
util_in_pct_pct_chg
util_out_pct_delta1
util_out_pct_delta5
util_out_pct_pct_chg
bw_avg_mbps_cv_10
bw_avg_mbps_cv_30
pkt_loss_pct_cv_10
pkt_loss_pct_cv_30
bw_avg_mbps_burst
syn_rate_pps_burst
flow_churn_per_sec_burst
syn_flood_indicator
util_imbalance
util_max
bw_asym_abs
loss_per_mbps
retransmit_load
jitter_per_mbps
t_log
t_relative
